OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,145794,200408,124707,100011,77971
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,167418,206833,141743,112896,86487
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,142933,228790,153401,118625,99355
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,197607,239774,162168,135095,99777
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,183336,227488,154776,126307,86123
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,205756,289093,185737,149835,107850
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,163775,215666,139438,113776,92504
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-11-01T00:00:00,2017-11-30T23:59:59,Month,2017-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,175538,231849,154529,124773,96588
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,143890,197723,122934,98900,77133
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,169244,209056,143173,114305,87606
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,144533,230820,154739,120227,100671
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,195179,236712,160075,133812,98813
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,184555,228985,155691,127308,86841
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,207418,291299,186923,151337,108956
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,162631,214110,138293,113174,92078
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-10-01T00:00:00,2017-10-31T23:59:59,Month,2017-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,175874,231994,154624,125456,97246
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,148827,204331,127089,102450,80163
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,170172,210092,143894,115073,88658
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,146786,233762,156896,122310,102555
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,193153,234175,158424,132491,98230
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,180776,224225,152473,124772,85528
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,206867,290158,186308,151115,109321
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,164889,216942,140194,114874,93927
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-09-01T00:00:00,2017-09-30T23:59:59,Month,2017-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,176281,231963,154952,126259,98246
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,148228,203203,126653,102161,80316
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,171274,211292,144851,115991,89694
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,144172,229056,154215,120105,101106
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,194187,235130,159414,133490,99521
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,181585,224998,153169,125645,86563
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,206316,288846,185912,150885,109628
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,166999,219479,142048,116501,95886
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-08-01T00:00:00,2017-08-31T23:59:59,Month,2017-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,176491,232407,155156,126154,98458
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-07-01T00:00:00,2017-07-31T23:59:59,Month,2017-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,148593,203567,127126,102285,80804
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-07-01T00:00:00,2017-07-31T23:59:59,Month,2017-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,167464,206526,141696,113297,88213
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-07-01T00:00:00,2017-07-31T23:59:59,Month,2017-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,142606,226596,152872,118571,100185
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-07-01T00:00:00,2017-07-31T23:59:59,Month,2017-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,196520,237943,161521,134768,100914
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-07-01T00:00:00,2017-07-31T23:59:59,Month,2017-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,181298,224525,153065,125381,86868
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2017-07-01T00:00:00,2017-07-31T23:59:59,Month,2017-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,203318,284303,183589,148503,108526
